Instance, Iterations, ExecutionTime, LastImprovementIter, InitialMakespan, FinalMakespan, BestMakespan, ImprovementPercent, ImprovementPercent_Integer, ImprovementPercent_Decimal
       0,         20,             0,                   0,               0,             4,            4,                  4,  0,  0
       1,         20,             0,                  13,               0,            36,           36,                 36,  0,  0
       2,         21,             0,                   1,               1,            27,           24,                 24,  0, 11
       3,         20,             0,                   3,               0,             7,            7,                  7,  0,  0
       4,         20,             0,                   2,               0,            60,           60,                 60,  0,  0
       5,         20,             0,                   1,               0,             9,            9,                  9,  0,  0
       6,         27,             0,                   3,               7,            19,           15,                 15,  0, 21
       7,         20,             0,                   1,               0,             6,            6,                  6,  0,  0
       8,         21,             0,                   3,               1,            18,           16,                 16,  0, 11
       9,         20,             0,                   1,               0,            19,           19,                 19,  0,  0
      10,         23,             0,                   3,               3,            16,           14,                 14,  0, 12
      11,         21,             0,                   3,               1,            18,           16,                 16,  0, 11
      12,         22,             0,                   2,               2,            83,           79,                 79,  0,  4
      13,         20,             0,                   4,               0,            19,           19,                 19,  0,  0
      14,         20,             0,                   2,               0,            11,           11,                 11,  0,  0
      15,         20,             0,                   1,               0,            10,           10,                 10,  0,  0
      16,         20,             0,                   4,               0,            11,           11,                 11,  0,  0
      17,         51,             0,                   4,              31,            76,           70,                 70,  0, 7
      18,         20,             0,                   3,               0,            18,           18,                 18,  0,  0
      19,         39,             0,                   3,              19,            16,           12,                 12, 25,  0
      20,         43,             0,                  16,              23,            27,           22,                 22, 18, 52
      21,         20,             0,                   4,               0,            12,           12,                 12,  0,  0
      22,         20,             0,                   0,               0,             3,            3,                  3,  0,  0
      23,         23,             0,                   2,               3,            45,           41,                 41,  8, 89
      24,         23,             0,                   4,               3,            15,           13,                 13, 13, 33
      25,         20,             0,                   0,               0,             9,            9,                  9,  0,  0
      26,         20,             0,                   0,               0,             4,            4,                  4,  0,  0
      27,         20,             0,                   2,               0,            12,           12,                 12,  0,  0
      28,         20,             0,                   1,               0,             6,            6,                  6,  0,  0
      29,         22,             0,                   1,               2,            14,           11,                 11, 21, 43
      30,         20,             0,                   1,               0,            21,           21,                 21,  0,  0
      31,         20,             0,                   1,               0,             6,            6,                  6,  0,  0
      32,         20,             0,                   1,               0,             8,            8,                  8,  0,  0
      33,         40,             0,                   1,              20,            52,           43,                 43, 17, 31
      34,         25,             0,                   3,               5,            29,           27,                 27,  6, 90
      35,         37,             0,                   1,              17,            33,           27,                 27, 18, 18
      36,         22,             0,                   1,               2,            16,           14,                 14, 12, 50
      37,         43,             0,                   1,              23,            79,           71,                 71, 10, 13
