jobs,machines,improvement_pct_mean,improvement_pct_std,improvement_pct_min,improvement_pct_max,exec_time_ms_mean,exec_time_ms_median,iterations_mean,num_runs
5,3,5.0,,5,5,1.0,1.0,26.0,1
5,4,0.0,,0,0,0.0,0.0,0.0,1
6,2,0.0,,0,0,0.0,0.0,0.0,1
6,3,2.0,2.83,0,4,6.0,6.0,38.0,2
6,4,0.0,,0,0,0.0,0.0,0.0,1
7,2,2.0,3.46,0,6,4.33,0.0,2.0,3
7,3,10.5,3.54,8,13,45.5,45.5,18.5,2
7,4,0.0,0.0,0,0,0.0,0.0,0.0,2
7,5,2.0,3.46,0,6,0.67,0.0,8.33,3
8,3,1.67,2.89,0,5,1.33,0.0,8.67,3
8,4,15.75,12.69,0,27,295.25,101.0,9.5,4
9,2,12.33,10.97,0,21,28.33,32.0,43.0,3
9,4,8.33,10.41,0,20,166.0,92.0,29.33,3
9,5,0.0,,0,0,0.0,0.0,0.0,1
10,2,3.0,,3,3,16.0,16.0,3.0,1
10,4,17.0,2.83,15,19,343.0,343.0,42.0,2
11,2,10.0,,10,10,35.0,35.0,87.0,1
11,4,0.0,,0,0,0.0,0.0,0.0,1
12,2,12.5,7.78,7,18,99.5,99.5,72.0,2
12,4,4.6,6.31,0,12,173.6,0.0,20.8,5
12,5,4.0,5.66,0,8,1.5,1.5,35.0,2
13,2,8.0,7.21,0,14,62.33,31.0,9.67,3
13,3,16.0,,16,16,91.0,91.0,22.0,1
13,4,8.5,2.12,7,10,141.5,141.5,56.0,2
13,5,13.33,2.08,11,15,612.33,710.0,35.0,3
14,2,0.0,,0,0,0.0,0.0,0.0,1
14,3,8.0,,8,8,965.0,965.0,33.0,1
14,4,2.5,3.54,0,5,149.0,149.0,0.0,2
14,5,8.0,8.04,0,19,104.5,5.5,18.75,4
15,2,4.0,,4,4,97.0,97.0,76.0,1
15,3,15.0,,15,15,189.0,189.0,79.0,1
15,4,15.75,9.74,6,29,265.75,110.0,30.0,4
16,2,11.5,6.36,7,16,73.0,73.0,52.5,2
16,3,15.0,,15,15,254.0,254.0,38.0,1
16,4,20.0,5.66,16,24,191.0,191.0,45.5,2
16,5,5.0,,5,5,293.0,293.0,0.0,1
17,2,11.0,,11,11,99.0,99.0,94.0,1
17,3,4.0,,4,4,114.0,114.0,88.0,1
17,4,12.0,1.0,11,13,742.67,533.0,46.67,3
18,2,11.6,4.34,4,14,253.2,209.0,40.4,5
18,4,12.0,1.41,11,13,587.0,587.0,54.5,2
18,5,19.0,,19,19,4.0,4.0,23.0,1
19,2,13.0,1.41,12,14,278.0,278.0,74.0,2
19,3,7.5,4.95,4,11,279.5,279.5,64.0,2
19,4,17.0,,17,17,1690.0,1690.0,14.0,1
19,5,15.0,,15,15,109.0,109.0,38.0,1
20,2,9.67,2.52,7,12,460.0,276.0,33.33,3
20,3,7.0,,7,7,877.0,877.0,84.0,1
20,4,12.5,17.68,0,25,460.0,460.0,32.0,2
20,5,8.5,7.78,3,14,545.0,545.0,49.5,2
